S.N,BUSINESS_DATE,SECURITY_ID,SYMBOL,SECURITY_NAME,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TOTAL_TRADED_QUANTITY,TOTAL_TRADED_VALUE,PREVIOUS_DAY_CLOSE_PRICE,FIFTY_TWO_WEEKS_HIGH,FIFTY_TWO_WEEKS_LOW,LAST_UPDATED_TIME,LAST_UPDATED_PRICE,TOTAL_TRADES,AVERAGE_TRADED_PRICE,MARKET_CAPITALIZATION
144,2023-03-19,2860,SAPDBL,Saptakoshi Development Bank Ltd,247.0000,249.0000,242.0000,247.9000,2446,605396.0000,246.6000,360.9000,178.1000,2023-03-19T14:59:09.939006,247.9000,18,247.50,2068.33
145,2023-03-19,2880,HDHPC,Himal Dolakha Hydropower Company Limited,228.0000,229.0000,224.2000,224.6000,49869,11286094.1000,226.0000,319.0000,161.0000,2023-03-19T14:59:50.381955,224.6000,205,226.31,3593.60
146,2023-03-19,8005,MKJC,Mailung Khola Jal Vidhyut Company Limited,440.6000,446.9000,438.7000,446.9000,1089,482845.5000,446.9000,695.0000,372.6000,2023-03-19T14:59:56.252110,446.9000,35,443.38,1645.23
147,2023-03-19,8066,RFPL,River Falls Power Limited,291.0000,299.0000,291.0000,298.0000,3019,893598.6000,296.1000,325.0000,200.0000,2023-03-19T14:59:51.107103,298.0000,159,295.99,2086.00
148,2023-03-19,8131,EHPL,Eastern Hydropower Limited,454.9000,460.0000,442.1000,453.0000,2660,1185068.0000,464.1000,508.0000,216.0000,2023-03-19T14:59:31.129010,453.0000,76,445.51,2808.60
149,2023-03-19,134,HBL,Himalayan Bank Limited,233.0000,239.0000,232.0000,236.0000,15414,3638705.8000,236.0000,398.7500,225.7000,2023-03-19T14:59:32.837712,236.0000,173,236.06,51109.61
150,2023-03-19,142,KBL,Kumari Bank Limited,179.5000,179.5000,175.9000,178.0000,62024,10971232.5000,178.5000,243.0000,175.0000,2023-03-19T14:59:59.066864,178.0000,303,176.88,46682.03
151,2023-03-19,163,NUBL,Nirdhan Utthan Laghubitta Bittiya Sanstha Limited,610.9000,611.0000,588.0000,596.8000,11899,7088434.2000,613.0000,1179.0000,588.0000,2023-03-19T14:59:45.350444,596.8000,177,595.71,15588.89
152,2023-03-19,184,PRIN,Prabhu Insurance Ltd.,479.0000,479.0000,472.0000,473.0000,3256,1548137.2000,479.0000,893.0000,378.0000,2023-03-19T14:57:22.461408,473.0000,27,475.47,6509.06
153,2023-03-19,188,LICN,Life Insurance Corporation (Nepal) Limited,1402.0000,1402.0000,1360.0000,1361.0000,4140,5637723.6000,1374.7000,2274.0000,1065.0000,2023-03-19T14:59:43.907130,1361.0000,44,1361.76,36110.05
154,2023-03-19,213,BNT,Bottlers Nepal (Terai) Limited,13020.0000,13020.0000,12500.0000,12744.0000,60,760286.0000,12804.0000,15371.3000,11396.0000,2023-03-19T14:46:48.248212,12744.0000,6,12671.43,15420.24
155,2023-03-19,338,PROFL,Progressive Finance Limited,325.0000,343.9000,325.0000,330.9000,6933,2282840.0000,331.0000,389.9000,192.0000,2023-03-19T14:59:25.229565,330.9000,59,329.27,2832.86
156,2023-03-19,371,MDB,Miteri Development Bank Limited,359.0000,364.2000,355.1000,361.0000,15242,5473748.7000,357.1000,525.0000,308.0000,2023-03-19T14:59:07.695159,361.0000,61,359.12,3664.16
157,2023-03-19,396,NLBBL,Nerude Laghubitta Bittiya Sanstha Limited,601.0000,603.9000,596.0000,596.0000,1549,925758.2000,602.7000,1129.0000,590.0000,2023-03-19T14:54:40.369767,596.0000,23,597.64,4362.72
158,2023-03-19,401,MLBL,Mahalaxmi Bikas Bank Ltd.,316.0000,316.0000,310.3000,310.3000,14564,4542895.6000,313.0000,485.0000,297.0000,2023-03-19T14:58:55.983443,310.3000,91,311.92,12943.60
159,2023-03-19,450,CORBL,Corporate Development Bank Limited,312.0000,312.0000,302.0000,302.0000,1996,605213.0000,306.0000,575.0000,211.3000,2023-03-19T14:59:58.136507,302.0000,20,303.21,1585.50
160,2023-03-19,474,MNBBL,Muktinath Bikas Bank Ltd.,389.6000,390.0000,385.0000,387.0000,10979,4241985.2000,387.9000,525.0000,368.0000,2023-03-19T14:59:31.218703,387.0000,130,386.37,24848.88
161,2023-03-19,694,KLBSL,Kisan Lagubitta Bittiya Sanstha Limited,703.0000,703.0000,666.4000,666.4000,444,298562.8000,690.0000,1590.0000,646.8000,2023-03-19T14:41:26.671244,666.4000,12,672.43,3141.21
162,2023-03-19,2787,KPCL,Kalika power Company Ltd,397.9000,397.9000,377.4000,385.0000,518,197424.2000,392.0000,527.0000,289.0000,2023-03-19T14:59:59.766666,385.0000,20,381.12,3054.97
163,2023-03-19,2826,GLBSL,Gurans Laghubitta Bittiya Sanstha Limited,674.8000,680.0000,664.0000,665.0000,240,160206.4000,688.5000,1360.0000,664.0000,2023-03-19T14:58:54.946538,665.0000,11,667.52,674.31
164,2023-03-19,2882,ICFCD83,12% ICFC Finance Limited Debenture 2083,1005.0000,1015.0000,1005.0000,1015.0000,88,88810.0000,1015.0000,1144.0000,988.1000,2023-03-19T14:01:20.317566,1015.0000,3,1009.20,
165,2023-03-19,2886,ADBLD83,10.35% Agricultural Bank Debenture 2083,916.0000,916.0000,910.0000,910.0000,1050,955800.0000,899.0000,1066.0000,865.1000,2023-03-19T14:53:56.435480,910.0000,2,910.28,
166,2023-03-19,4951,JBLB,Jeevan Bikas Laghubitta  Bittya Sanstha Ltd,1850.6000,1900.0000,1829.0000,1830.0000,6222,11536063.2000,1880.1000,5260.0000,1829.0000,2023-03-19T14:59:55.869378,1830.0000,259,1854.07,18927.32
